product_id,old_price,new_price,updated_at
64,270000,239000,9/10/18 16:37
3954203,60000,64000,9/11/18 11:54
3954203,60500,57500,9/17/18 22:59
3954203,64000,60500,9/15/18 3:49
3954203,68800,60000,9/10/18 16:32
3998909,15500,16500,9/16/18 5:09
3998909,17000,15500,9/13/18 6:43
3998909,19000,17000,9/10/18 16:35
4085861,53500,52000,9/17/18 22:59
4085861,53500,67000,9/12/18 3:51
4085861,58000,53500,9/17/18 3:35
4085861,60000,53500,9/11/18 8:51
4085861,62500,58000,9/15/18 3:51
4085861,67000,62500,9/13/18 6:43